Individual,Num_Faults,LEDS,Swarm_Size,user_order,Fault_Type1,Fault_Type2,Bal_Avg,Video Type
16,0,ON,SMALL,30,NONE,NONE,1,1
16,0,ON,LARGE,30,NONE,NONE,1,2
16,0,OFF,SMALL,30,NONE,NONE,0.9375,3
16,0,OFF,LARGE,30,NONE,NONE,1,4
16,1,ON,SMALL,30,WHEEL,NONE,1,5
16,1,ON,LARGE,30,WHEEL,NONE,0.5,6
16,1,OFF,SMALL,30,PROX,NONE,1,7
16,1,OFF,LARGE,30,PROX,NONE,0.5,8
16,2,ON,SMALL,30,PROX,PROX,0.964285714,9
16,2,ON,LARGE,30,WHEEL,PROX,0.75,10
16,2,OFF,SMALL,30,WHEEL,PROX,1,11
16,2,OFF,LARGE,30,WHEEL,WHEEL,0.75,12
17,0,ON,SMALL,31,NONE,NONE,1,1
17,0,ON,LARGE,31,NONE,NONE,1,2
17,0,OFF,SMALL,31,NONE,NONE,0.9375,3
17,0,OFF,LARGE,31,NONE,NONE,1,4
17,1,ON,SMALL,31,PROX,NONE,1,5
17,1,ON,LARGE,31,PROX,NONE,0.5,6
17,1,OFF,SMALL,31,WHEEL,NONE,0.5,7
17,1,OFF,LARGE,31,WHEEL,NONE,0.5,8
17,2,ON,SMALL,31,WHEEL,WHEEL,0.964285714,9
17,2,ON,LARGE,31,WHEEL,WHEEL,0.741935484,10
17,2,OFF,SMALL,31,PROX,PROX,0.5,11
17,2,OFF,LARGE,31,PROX,PROX,0.491935484,12
18,0,ON,SMALL,32,NONE,NONE,0.9375,1
18,0,ON,LARGE,32,NONE,NONE,1,2
18,0,OFF,SMALL,32,NONE,NONE,1,3
18,0,OFF,LARGE,32,NONE,NONE,1,4
18,1,ON,SMALL,32,PROX,NONE,1,5
18,1,ON,LARGE,32,PROX,NONE,1,6
18,1,OFF,SMALL,32,WHEEL,NONE,1,7
18,1,OFF,LARGE,32,WHEEL,NONE,0.5,8
18,2,ON,SMALL,32,WHEEL,WHEEL,1,9
18,2,ON,LARGE,32,WHEEL,WHEEL,0.75,10
18,2,OFF,SMALL,32,PROX,PROX,1,11
18,2,OFF,LARGE,32,PROX,PROX,0.741935484,12
19,0,ON,SMALL,33,NONE,NONE,1,1
19,0,ON,LARGE,33,NONE,NONE,1,2
19,0,OFF,SMALL,33,NONE,NONE,1,3
19,0,OFF,LARGE,33,NONE,NONE,1,4
19,1,ON,SMALL,33,PROX,NONE,0.5,5
19,1,ON,LARGE,33,PROX,NONE,0.5,6
19,1,OFF,SMALL,33,WHEEL,NONE,0.5,7
19,1,OFF,LARGE,33,WHEEL,NONE,0.5,8
19,2,ON,SMALL,33,PROX,PROX,0.75,9
19,2,ON,LARGE,33,WHEEL,PROX,0.75,10
19,2,OFF,SMALL,33,WHEEL,PROX,0.75,11
