,Video Type 1,,,Video Type 2,,,Video Type 3,,,Video Type 4,,,Video Type 5,,,Video Type 6,,,Video Type 7,,,Video Type 8,,,Video Type 9,,,Video Type 10,,,Video Type 11,,,Video Type 12,,,Video Type Duplicate 1,,,Video Type Duplicate 2,,
,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 8,Seed 119,Exp 4,,Seed 129,Exp 5,,Seed 120,Exp 2,,Seed 130,Exp 10,,Seed 139,Exp 8,,Seed 169,Exp 12,,Seed 160,Exp 3,,Seed 150,Exp 11,,Seed 249,Exp 6,,Seed 219,Exp 9,,Seed 230,Exp 7,,Seed 260,Exp 1,,,,,,,
Guesses,NONE,NONE,NONE,20,71,nada,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,40,199,nada,NONE,NONE,NONE,4,114,nada,1,115,nada,13,101,nada,NONE,NONE,NONE,,,,,,
,,,,31,123,nada,,,,,,,,,,,,,,,,,,,0,190,nada,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3,78.3,Left Wheel Zero,13,69.3,Prox Sensor Random,4,64.2,Prox Sensor Random,4,1,Left Wheel Zero,4,46.7,Prox Sensor Random,43,4.4,Left Wheel Zero,5,75.9,Left Wheel Zero,43,5.9,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,63.4,Prox Sensor Random,1,73,Left Wheel Zero,13,3.9,Prox Sensor Random,16,37.1,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 9,Seed 117,Exp 7,,Seed 123,Exp 2,,Seed 112,Exp 3,,Seed 124,Exp 1,,Seed 151,Exp 12,,Seed 147,Exp 3,,Seed 154,Exp 4,,Seed 142,Exp 5,,Seed 229,Exp 8,,Seed 253,Exp 6,,Seed 206,Exp 9,,Seed 252,Exp 10,,,,,,,
Guesses,5,116,prox fault,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,7,91,prox fault,62,140,Wheel fault,11,75,Prox Sensor,18,107,Wheel fault,9,75,wheel fault,27,73,prox fault,4,61,prox,48,182,wheel,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,90,prox fault,43,95,prox fault,2,95,wheel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Revoke,121,nada,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,145,nada,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
