Individual,Num_Faults,LEDS,Swarm_Size,user_order,Wheel_Fault,Prox_Fault,Bal_Avg,Video Type,TP,TN,FP,FN,MCC,Fault_Type1,Fault_Type2
19,0,OFF,LARGE,19,NONE,NONE,1,4,,,,,,NONE,NONE
19,1,ON,SMALL,19,YES,NONE,1,5,,,,,,WHEEL,NONE
19,1,ON,LARGE,19,YES,NONE,1,6,,,,,,WHEEL,NONE
19,1,OFF,SMALL,19,YES,NONE,1,7,,,,,,WHEEL,NONE
19,1,OFF,LARGE,19,NONE,YES,1,8,,,,,,PROX,NONE
19,2,ON,SMALL,19,YES,NONE,1,9,,,,,,WHEEL,WHEEL
19,2,ON,LARGE,19,YES,NONE,0.75,10,,,,,,WHEEL,WHEEL
19,2,OFF,SMALL,19,YES,YES,1,11,,,,,,WHEEL,PROX
19,2,OFF,LARGE,19,YES,NONE,0.75,12,,,,,,WHEEL,WHEEL
20,0,ON,SMALL,20,NONE,NONE,1,1,,,,,,NONE,NONE
20,0,ON,LARGE,20,NONE,NONE,1,2,,,,,,NONE,NONE
20,0,OFF,SMALL,20,NONE,NONE,1,3,,,,,,NONE,NONE
20,0,OFF,LARGE,20,NONE,NONE,1,4,,,,,,NONE,NONE
20,1,ON,SMALL,20,NONE,YES,1,5,,,,,,PROX,NONE
20,1,ON,LARGE,20,YES,NONE,0.5,6,,,,,,WHEEL,NONE
20,1,OFF,SMALL,20,NONE,YES,1,7,,,,,,PROX,NONE
20,1,OFF,LARGE,20,YES,NONE,1,8,,,,,,WHEEL,NONE
20,2,ON,SMALL,20,YES,YES,1,9,,,,,,WHEEL,PROX
20,2,ON,LARGE,20,NONE,YES,0.75,10,,,,,,PROX,PROX
20,2,OFF,SMALL,20,YES,YES,1,11,,,,,,WHEEL,PROX
20,2,OFF,SMALL,20,NONE,YES,1,11,,,,,,PROX,PROX
21,0,ON,SMALL,21,NONE,NONE,0.9375,1,,,,,,NONE,NONE
21,0,ON,LARGE,21,NONE,NONE,1,2,,,,,,NONE,NONE
21,0,OFF,SMALL,21,NONE,NONE,1,3,,,,,,NONE,NONE
21,0,OFF,LARGE,21,NONE,NONE,1,4,,,,,,NONE,NONE
21,1,ON,SMALL,21,NONE,YES,1,5,,,,,,PROX,NONE
21,1,ON,LARGE,21,NONE,YES,1,6,,,,,,PROX,NONE
21,1,OFF,SMALL,21,YES,NONE,1,7,,,,,,WHEEL,NONE
21,1,OFF,LARGE,21,YES,NONE,1,8,,,,,,WHEEL,NONE
21,2,ON,SMALL,21,YES,YES,1,9,,,,,,WHEEL,PROX
21,2,ON,LARGE,21,YES,YES,0.75,10,,,,,,WHEEL,PROX
21,2,OFF,SMALL,21,YES,NONE,1,11,,,,,,WHEEL,WHEEL
21,2,OFF,SMALL,21,YES,YES,0.5,11,,,,,,WHEEL,PROX
22,0,ON,SMALL,22,NONE,NONE,1,1,,,,,,NONE,NONE
22,0,ON,LARGE,22,NONE,NONE,0.890625,2,,,,,,NONE,NONE
22,0,OFF,SMALL,22,NONE,NONE,1,3,,,,,,NONE,NONE
22,0,OFF,LARGE,22,NONE,NONE,0.921875,4,,,,,,NONE,NONE
22,1,ON,SMALL,22,YES,NONE,1,5,,,,,,WHEEL,NONE
22,1,ON,LARGE,22,YES,NONE,0.992063492,6,,,,,,WHEEL,NONE
22,1,OFF,SMALL,22,NONE,YES,0.966666667,7,,,,,,PROX,NONE
22,1,OFF,LARGE,22,NONE,YES,0.984126984,8,,,,,,PROX,NONE
22,2,ON,SMALL,22,YES,NONE,1,9,,,,,,WHEEL,WHEEL
22,2,ON,LARGE,22,YES,NONE,0.741935484,10,,,,,,WHEEL,WHEEL
22,2,OFF,SMALL,22,NONE,YES,0.5,11,,,,,,PROX,PROX
22,2,OFF,LARGE,22,NONE,YES,0.75,12,,,,,,PROX,PROX
23,0,ON,SMALL,23,NONE,NONE,1,1,,,,,,NONE,NONE
23,0,ON,LARGE,23,NONE,NONE,1,2,,,,,,NONE,NONE
23,0,OFF,SMALL,23,NONE,NONE,1,3,,,,,,NONE,NONE
23,0,OFF,LARGE,23,NONE,NONE,1,4,,,,,,NONE,NONE
23,1,ON,SMALL,23,NONE,YES,1,5,,,,,,PROX,NONE
23,1,ON,LARGE,23,NONE,YES,0.5,6,,,,,,PROX,NONE
23,1,OFF,SMALL,23,YES,NONE,0.5,7,,,,,,WHEEL,NONE
23,1,OFF,LARGE,23,YES,NONE,1,8,,,,,,WHEEL,NONE
23,2,ON,SMALL,23,YES,YES,0.75,9,,,,,,WHEEL,PROX
23,2,ON,LARGE,23,NONE,YES,0.5,10,,,,,,PROX,PROX
23,2,OFF,SMALL,23,YES,NONE,0.75,11,,,,,,WHEEL,WHEEL
23,2,OFF,LARGE,23,YES,YES,0.75,12,,,,,,WHEEL,PROX
24,0,ON,SMALL,24,NONE,NONE,1,1,,,,,,NONE,NONE
24,0,ON,LARGE,24,NONE,NONE,1,2,,,,,,NONE,NONE
