user_num,fault_type1,fault_type2,bal_acc,vid_type
38,NONE,NONE,1.0,2
38,NONE,NONE,1.0,3
38,NONE,NONE,1.0,4
38,WHEEL,NONE,1.0,5
38,PROX,NONE,1.0,6
38,WHEEL,NONE,1.0,7
38,PROX,NONE,0.5,8
38,PROX,PROX,0.75,9
38,WHEEL,PROX,0.5,10
38,WHEEL,WHEEL,1.0,11
38,WHEEL,PROX,0.75,12
39,NONE,NONE,1.0,1
39,NONE,NONE,1.0,2
39,NONE,NONE,1.0,3
39,NONE,NONE,1.0,4
39,PROX,NONE,0.5,5
39,WHEEL,NONE,0.5,6
39,WHEEL,NONE,1.0,7
39,PROX,NONE,1.0,8
39,PROX,PROX,0.42857142857142855,9
39,WHEEL,PROX,1.0,10
39,WHEEL,WHEEL,1.0,11
39,WHEEL,PROX,0.5,12
40,NONE,NONE,1.0,1
40,NONE,NONE,1.0,2
40,NONE,NONE,1.0,3
40,NONE,NONE,0.984375,4
40,WHEEL,NONE,1.0,5
40,PROX,NONE,0.5,6
40,WHEEL,NONE,1.0,7
40,PROX,NONE,0.5,8
40,PROX,PROX,1.0,9
40,WHEEL,PROX,0.75,10
40,WHEEL,WHEEL,1.0,11
40,WHEEL,PROX,0.75,12
41,NONE,NONE,1.0,1
41,NONE,NONE,1.0,2
41,NONE,NONE,1.0,3
41,NONE,NONE,1.0,4
41,WHEEL,NONE,0.5,5
41,PROX,NONE,0.5,6
41,WHEEL,NONE,1.0,7
41,PROX,NONE,1.0,8
41,PROX,PROX,0.5,9
41,WHEEL,PROX,0.75,10
41,WHEEL,PROX,0.75,11
41,WHEEL,WHEEL,0.75,12
42,NONE,NONE,1.0,1
42,NONE,NONE,1.0,2
42,NONE,NONE,1.0,3
42,NONE,NONE,1.0,4
42,WHEEL,NONE,1.0,5
42,PROX,NONE,0.5,6
42,WHEEL,NONE,1.0,7
42,PROX,NONE,1.0,8
42,PROX,PROX,0.75,9
42,WHEEL,PROX,1.0,10
42,WHEEL,PROX,0.75,11
42,WHEEL,WHEEL,0.9919354838709677,12
43,NONE,NONE,1.0,1
43,NONE,NONE,1.0,2
43,NONE,NONE,0.9375,3
43,NONE,NONE,0.984375,4
43,PROX,NONE,1.0,5
43,WHEEL,NONE,1.0,6
43,WHEEL,NONE,0.5,7
43,PROX,NONE,0.49206349206349204,8
43,PROX,PROX,0.75,9
43,WHEEL,PROX,0.49193548387096775,10
43,WHEEL,PROX,0.685483870967742,12
43,WHEEL,WHEEL,0.4596774193548387,12
44,NONE,NONE,1.0,1
44,NONE,NONE,1.0,2
44,NONE,NONE,1.0,3
44,NONE,NONE,1.0,4
44,WHEEL,NONE,1.0,5
44,PROX,NONE,0.9920634920634921,6
44,PROX,NONE,0.5,7
44,WHEEL,NONE,0.5,8
44,PROX,PROX,1.0,9
44,WHEEL,WHEEL,0.9919354838709677,10
44,WHEEL,PROX,1.0,11
44,PROX,PROX,0.5,12
